Name,Price,Old Price,Discount
"Рёбра свиные Черкизово по-бельгийски в шоколадно-пивном соусе, кг",379.99,,
"Фарш Перекрёсток свиной, кг",319.0,,
"Чипсы Lays Бекон, 81г",109.99,,
"Свинина Пр!ст Классическая тушеная, 325г",119.9,,
"Медальоны свиные Мираторг Tender Pork категории А охлаждённые, 250г",199.99,,
"Эскалоп свиной Черкизово охлаждённый, 500г",219.99,289.0,24.0
"Эскалоп свиной Перекрёсток без кости, кг",429.0,,
"Лопатка свиная без кости, кг",299.0,,
"Бекон свиной Черкизово по-английски без кости категории Б охлаждённый, 250г",144.99,,
"Свинина Гродфуд тушёная высший сорт, 338г",319.99,,
"Фарш Перекрёсток домашний, кг",439.0,,
"Свинина Барс Экстра тушёная высший сорт, 325г",269.99,,
"Фарш Мираторг любительский охлаждённый, 400г",194.99,,
"Котлеты Ближние Горки домашние охлаждённые, 400г",179.99,,
"Свинина Курганский Стандарт тушёная высший сорт, 338г",179.99,,
"Свинина Барышский тушёная высший сорт, 338г",249.99,349.99,29.0
"Эскалоп свиной Мираторг охлаждённый, 400г",269.99,,
"Буженина Главпродукт Классическая, 325г",229.99,349.99,34.0
"Свинина Ближние Горки по-итальянски в соусе с вялеными томатами категории Б охлаждённое, кг",479.99,,
"Ветчина Барс Европейская из свинины стерилизованная, 325г",249.99,,
"Колбаски из свинины Мираторг для жарки категории Б охлаждённые, 400г",219.99,,
"Чевапчичи из свинины Ближние Горки охлаждённые, 300г",189.99,,
"Шейка свиная охлаждённая, 1кг",549.99,,
"Окорок Главпродукт Тамбовский стерилизованный, 325г",229.99,319.99,28.0
"Свинина Батькин Резерв Экстра тушёная высший сорт, 338г",369.99,,
"Свинина Главпродукт Экстра тушёная, 338г",199.99,279.99,29.0
"Рулька свиная МКК Балтийский копчёная бескостная, 525г",219.99,329.99,33.0
"Ноги свиные замороженные, кг",99.0,,
"Паштет Пр!ст Деликатесный печёночный с зеленью укропа, 90г",17.9,,
"Колбаски свиные Ближние Горки шашлычные, 400г",199.99,,
"Ветчина Hame Славянская из свинины, 340г",739.99,,
"Филе большое Петруха из грудки цыплят-бройлеров охлаждённое, 850г",369.99,,
