Lon,Lat,Cafe,Delivery,Catalog,Pickup
37.578873,55.897614,True,True,True,False
37.591153,55.87096,False,True,True,False
37.60982,55.874324,False,True,True,False
37.6379732,55.8705585,False,True,True,True
37.65876,55.888281,False,True,True,True
37.6561556,55.887347,False,True,True,True
37.652481,55.877167,False,True,True,False
37.694747,55.880298,False,True,True,True
37.634595,55.87942,False,True,True,True
37.68395,55.85356,False,False,True,False
37.653388,55.854997,False,True,True,True
37.478082,55.855078,False,True,True,False
37.564563,55.875486,False,True,True,True
37.519925,55.882293,False,True,True,True
37.490497,55.875223,False,True,True,True
37.534092,55.877092,False,True,True,True
37.465775,55.865333,False,True,True,True
37.485421,55.840897,False,True,True,True
37.558957,55.877354,False,True,True,True
37.48914,55.881616,False,True,True,True
37.45787,55.898119,False,False,True,False
37.31025,55.975148,False,False,True,False
37.314059,55.938082,False,True,True,True
37.15503,55.977944,False,True,True,True
37.206036,56.005777,False,False,True,False
37.184252,55.981324,False,True,True,True
37.211004,56.002279,False,True,True,True
37.151706,55.98496,False,True,True,True
37.187531,55.965103,False,True,True,True
37.210106,55.998227,False,True,True,True
37.155686,55.988389,False,True,True,True
37.196191,55.927352,False,True,True,True
38.133178,56.303876,False,False,True,False
37.883186,55.918348,False,True,True,True
37.867169,55.917359,False,True,True,True
37.843202,55.933948,False,True,True,True
37.83801,55.920542,False,True,True,True
37.867349,55.90794,False,True,True,True
37.847469,56.011701,False,False,True,False
37.735827,55.973491,False,False,True,False
37.854629,55.922212,False,False,True,False
37.851862,55.937704,False,False,True,False
37.906895,55.975254,False,True,True,True
37.861438,56.019309,False,True,True,True
37.756281,55.918807,False,False,True,False
37.724912,55.91858,False,False,True,False
37.711204,55.904266,False,True,True,True
37.759264,55.916678,False,True,True,True
37.720259,55.898755,False,True,True,True
37.754224,55.925102,False,True,True,True
37.772379,55.916386,False,True,True,True
37.728478,55.905482,False,False,True,False
37.727598,55.89183,False,False,True,False
37.699921,55.90519,False,True,True,True
37.666926,55.961767,False,False,True,False
36.712681,56.331992,False,True,True,True
36.734088,56.333973,False,False,True,False
37.168487,56.738394,False,True,True,True
37.157006,56.735851,True,False,True,False
35.944406,56.846721,False,True,True,True
35.907665,56.853031,False,True,True,True
36.682489,56.364745,False,False,True,False
36.956817,56.180227,False,True,True,True
35.917547,56.830014,False,False,True,False
35.912669,56.871173,False,True,True,True
35.939951,56.850471,False,False,True,False
36.968746,56.193902,False,False,True,False
37.423366,55.878758,False,True,True,True
37.434873,55.862984,False,True,True,True
37.44409,55.850408,False,True,True,True
37.438754,55.845501,False,True,True,True
37.43207,55.857144,False,True,True,True
37.388322,55.889937,False,True,True,True
37.415766,55.901198,False,True,True,True
37.462146,55.815762,False,True,True,True
37.445473,55.861039,False,True,True,True
37.454645,55.847821,False,True,True,False
37.421874,55.850014,False,True,True,True
37.592411,55.752141,True,True,True,True
37.56538,55.746218,False,True,True,True
37.617114,55.757131,False,False,True,False
37.576789,55.730847,True,True,True,True
37.600891,55.785898,False,False,True,False
37.601403,55.780036,False,False,True,False
37.599669,55.789213,False,False,True,False
37.566072,55.744632,True,False,True,False
