Должность,Мин З/П,Макс З/П,Адрес
Администратор магазина,48992,62024,"121609, г Москва, Осенний б-р, д 7"
Администратор магазина,48992,62024,"119285, г Москва, ул Пырьева, д 16"
Администратор магазина,48992,62024,"117292, г Москва, ул Кржижановского, д 4"
Администратор магазина,48992,62024,"г Москва, ул Молодогвардейская, д 30"
Администратор магазина,48992,62024,"121614, г Москва, Осенний б-р, д 12"
Администратор магазина,48000,65000,"115093, г Москва, ул Большая Серпуховская, д 58"
Администратор магазина,51351,66692,"123154, г Москва, ул Народного Ополчения, д 21"
Администратор магазина,48000,65000,"117556, г Москва, ул Болотниковская, д 12"
Администратор магазина,48000,65000,"117628, г Москва, ул Старобитцевская, д 21А"
Администратор магазина,48992,62024,"121108, г Москва, ул Герасима Курина, д 44"
Администратор магазина,53891,69959,"125195, г Москва, ул Смольная, д 49"
Администратор магазина,48992,62024,"121087, г Москва, Береговой пр-д, д 2"
Администратор магазина,49600,71400,"117519, г Москва, ул Кировоградская, д 17"
Администратор магазина,48992,62024,"119633, г Москва, ул Новопеределкинская, д 10А"
Администратор магазина,48992,62024,"119526, г Москва, пр-кт Вернадского, д 93"
Администратор магазина,48992,62024,"117209, г Москва, ул Перекопская, д 22А"
Администратор магазина,48000,65000,"117216, г Москва, ул Старокачаловская, д 3"
Администратор магазина,53891,69959,"125315, г Москва, ул Часовая, д 16"
Администратор магазина,51000,63700,"105215, г Москва, Щёлковское шоссе, д 70"
Администратор магазина,48000,65000,"109390, г Москва, ул Люблинская, д 21А"
Администратор магазина,48000,65000,"109235, г Москва, ул 2-я Курьяновская, д 9"
Администратор магазина,53891,69959,"127540, г Москва, ул Дубнинская, д 12"
Администратор магазина,48000,65000,"115573, г Москва, Ореховый проезд, д 12"
Администратор магазина,48000,65000,"г Москва, ул Дмитрия Ульянова, д 43"
Администратор магазина,53891,69959,"127591, г Москва, ул 800-летия Москвы, д 24"
Администратор магазина,49600,71400,"111141, г Москва, Зелёный пр-кт, д 6"
Администратор магазина,48000,64999,"109052, г Москва, ул Нижегородская, д 104"
Администратор магазина,48000,65000,"109377, г Москва, ул Зеленодольская, д 7"
Администратор магазина,49600,71400,"117570, г Москва, ул Красного Маяка, д 16Б"
Администратор магазина,53891,69959,"125464, г Москва, Пятницкое шоссе, д 9"
Администратор магазина,48992,62024,"117321, г Москва, ул Профсоюзная, д 146"
Администратор магазина,48000,65000,"109369, г Москва, ул Перерва, д 32"
Администратор магазина,51000,63700,"105523, г Москва, ул 15-я Парковая, д 44А"
Администратор магазина,51000,63700,"111531, г Москва, Свободный пр-кт, д 1Б"
Администратор магазина,48992,62024,"117133, г Москва, ул Тёплый Стан, д 10"
Администратор магазина,52500,65500,"105043, г Москва, ул Первомайская, д 58Б"
Администратор магазина,49600,71400,"109431, г Москва, ул Генерала Кузнецова, д 26"
Администратор магазина,53891,69959,"127349, г Москва, Алтуфьевское шоссе, д 84"
Администратор магазина,53891,69959,"127273, г Москва, Отрадный проезд, д 3А"
Администратор магазина,49600,71400,"117403, г Москва, ул Булатниковская, д 9"
Администратор магазина,48000,65000,"115547, г Москва, ул Бирюлёвская, д 56"
Администратор магазина,48000,65000,"115569, г Москва, ул Маршала Захарова, д 5"
Администратор магазина,48000,65000,"117209, г Москва, ул Болотниковская, д 52А"
Администратор магазина,48992,62024,"117292, г Москва, ул Дмитрия Ульянова, д 6"
Администратор магазина,48992,62024,"119620, г Москва, Солнцевский пр-кт, д 28"
Администратор магазина,48992,65060,"129337, г Москва, ул Красная Сосна, д 2А"
Администратор магазина,49600,71400,"115088, г Москва, ул Шарикоподшипниковская, д 11"
Администратор магазина,48000,65000,"109202, г Москва, ул 2-я Карачаровская, д 1"
Администратор магазина,48992,65060,"г Москва, ул Краснобогатырская, д 75А"
Администратор магазина,48000,65000,"115551, г Москва, Шипиловский проезд, влд 39"
Администратор магазина,49600,71400,"115477, г Москва, ул Кантемировская, д 7"
Администратор магазина,48000,65000,"109652, г Москва, ул Люблинская, д 171"
Администратор магазина,48000,65000,"115551, г Москва, Ореховый б-р, д 9"
Администратор магазина,49600,71400,"117525, г Москва, ул Чертановская, д 30"
Администратор магазина,48992,65060,"г Москва, ул Черкизовская Б., д 32"
Администратор магазина,52500,65500,"105264, г Москва, Измайловский б-р, д 43"
Администратор магазина,48992,65060,"107258, г Москва, б-р Маршала Рокоссовского, д 38"
Администратор магазина,48992,65060,"123557, г Москва, ул Пресненский Вал, д 30"
Администратор магазина,48992,65060,"127254, г Москва, ул Гончарова, д 15"
Администратор магазина,48000,65000,"109469, г Москва, ул Новомарьинская, д 20"
Администратор магазина,48000,65000,"109559, г Москва, ул Марьинский Парк, д 49"
Администратор магазина,53000,66200,"г Москва, ул Сталеваров, д 22"
Администратор магазина,48992,65060,"119002, г Москва, ул Арбат, д 24"
Администратор магазина,48000,65000,"115597, г Москва, Гурьевский проезд, д 15"
Администратор магазина,48000,65000,"115573, г Москва, ул Мусы Джалиля, д 36"
Администратор магазина,53000,66200,"105203, г Москва, ул Первомайская, д 110"
Администратор магазина,50500,63100,"105568, г Москва, Малый Купавенский проезд, д 3"
Администратор магазина,53500,66800,"107065, г Москва, ул Уральская, д 25"
Администратор магазина,48000,65000,"115408, г Москва, ул Братеевская, д 35/12"
Администратор магазина,48992,65060,"107014, г Москва, ул Егерская, д 1"
Администратор магазина,52000,69000,"107207, г Москва, ул Уральская, д 4"
Администратор магазина,48000,65000,"115547, г Москва, ул Михневская, д 9А"
Администратор магазина,48000,65000,"109451, г Москва, ул Братиславская, д 16"
Администратор магазина,48992,65060,"107014, г Москва, ул Большая Остроумовская, д 12"
Администратор магазина,53891,69959,"125183, г Москва, проезд Черепановых, д 17А"
Администратор магазина,49941,66421,"108823, г Москва, Рязановское шоссе, д 31"
Администратор магазина,48000,65000,"117638, г Москва, ул Криворожская, д 29"
Заместитель директора магазина,43000,61000,"127349, г Москва, ул Мурановская, д 7"
Заместитель директора магазина,43000,61000,"127474, г Москва, Бескудниковский б-р, д 12"
Заместитель директора магазина,43000,61000,"117638, г Москва, ул Криворожская, д 1"
Заместитель директора магазина,43000,61000,"115612, г Москва, ул Братеевская, д 25"
Заместитель директора магазина,43000,61000,"г Москва, ул Комсомольская, д 6/1"
Продавец-кассир,40900,44200,"117624, г Москва, ул Поляны, д 5"
Продавец (подработка),18000,21000,"117624, г Москва, ул Поляны, д 5"
Старший продавец-кассир,44273,47815,"119361, г Москва, ул Озёрная, д 9"
Директор магазина,70000,130000,"127549, г Москва, Алтуфьевское шоссе, д 66"
Мобильный продавец-кассир,40000,42000,"107140, г Москва, ул Краснопрудная, д 15"
Продавец-кассир,40973,44251,"119361, г Москва, ул Озёрная, д 9"
Продавец-кассир,40973,44251,"127543, г Москва, ул Белозерская, д 23Г"
Продавец-кассир,40900,44250,"109507, г Москва, Ферганский проезд, д 7"
Продавец-кассир,40973,44251,"117630, г Москва, ул Академика Челомея, д 8Г"
Продавец-кассир,40900,44200,"109144, г Москва, ул Маршала Голованова, д 19"
Продавец-кассир,40973,44251,"119634, г Москва, ул Скульптора Мухиной, д 4"
Продавец-кассир,37805,40829,"108818, г Москва, ул 1-я Ватутинская, д 1"
Продавец-кассир,40973,44251,"127549, г Москва, Алтуфьевское шоссе, д 66"
Продавец-кассир,40973,44251,"107113, г Москва, ул Сокольнический Вал, д 22"
Продавец-кассир,40973,44251,"г Москва, ул Куусинена, д 9"
Продавец-кассир,40900,44250,"109156, г Москва, Жулебинский б-р, д 25"
Продавец-кассир,40900,44200,"117303, г Москва, ул Керченская, д 1Б"
Продавец-кассир,40973,44251,"125464, г Москва, Пятницкое шоссе, д 12"
Продавец-кассир,40973,44251,"125481, г Москва, ул Фомичёвой, д 10"
Продавец-кассир,40973,44251,"125459, г Москва, ул Фабрициуса, д 35А"
Продавец-кассир,40973,44251,"г Москва, проезд Серебрякова, д 11"
Продавец-кассир,40973,44251,"127473, г Москва, ул Краснопролетарская, д 16"
Продавец-кассир,40900,44250,"109444, г Москва, Самаркандский б-р, д 4"
Продавец-кассир,40900,44200,"107497, г Москва, ул Чусовская, д 8"
Продавец-кассир,40973,44251,"129075, г Москва, ул Цандера, д 7"
Продавец-кассир,40973,44251,"125212, г Москва, Ленинградское шоссе, д 52"
Продавец-кассир,40973,44251,"125475, г Москва, ул Зеленоградская, д 31"
Продавец-кассир,40973,44251,"107392, г Москва, ул Черкизовская Б., д 11"
Продавец-кассир,40973,44251,"121096, г Москва, ул Василисы Кожиной, д 10"
Продавец-кассир,40900,44250,"111395, г Москва, ул Красный Казанец, д 1А"
Продавец-кассир,40973,44251,"115184, г Москва, ул Новокузнецкая, д 13"
Продавец-кассир,40973,44251,"105066, г Москва, ул Нижняя Красносельская, д 35"
Продавец-кассир,40900,44250,"117535, г Москва, ул Россошанская, д 13"
Продавец-кассир,40973,44251,"119435, г Москва, ул Малая Пироговская, д 17"
Продавец-кассир,40900,44250,"111402, г Москва, ул Старый Гай, д 8"
Продавец-кассир,40973,44251,"108811, г Москва, км Киевское шоссе 22-й (п Московский), д 6А"
Продавец-кассир,40973,44251,"125413, г Москва, ул Флотская, д 17"
Продавец-кассир,40973,44251,"121601, г Москва, Филёвский б-р, д 6"
Продавец-кассир,40973,44251,"127220, г Москва, ул Башиловская, д 12"
